YEAR	DATE	TIME	Hour	STREET1	STREET2	OFFSET	ROAD_CLASS	District	LATITUDE	LONGITUDE	LOCCOORD	ACCLOC	TRAFFCTL	VISIBILITY	LIGHT	RDSFCOND	ACCLASS	IMPACTYPE	INVTYPE	INVAGE	INJURY	FATAL_NO	INITDIR	VEHTYPE	MANOEUVER	DRIVACT	DRIVCOND	PEDTYPE	PEDACT	PEDCOND	CYCLISTYPE	CYCACT	CYCCOND	PEDESTRIAN	CYCLIST	AUTOMOBILE	MOTORCYCLE	TRUCK	TRSN_CITY_VEH	EMERG_VEH	PASSENGER	SPEEDING	AG_DRIV	REDLIGHT	ALCOHOL	DISABILITY	Division
2017	2017-08-25T04:00:00.000Z	1130	11	DUNDAS ST W	GLADSTONE AVE	60 m East of	Minor Arterial	Toronto and East York	43.649501	-79.428958	Mid-Block	Non Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	39	North	 	 	 	 	Pedestrian hit at mid-block	Running onto Roadway	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	14
2010	2010-01-22T05:00:00.000Z	1132	11	DANFORTH AVE	BROADVIEW AVE	 	Major Arterial	Toronto and East York	43.676145	-79.35889	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	55 to 59	Fatal	6	East	Other	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	 	 	Yes		 	 	 	Yes	 	 	 	"54,55"
2013	2013-08-13T04:00:00.000Z	1133	11	STEELES AVE E	MIDDLEFIELD RD	 	Major Arterial	Scarborough	43.832644	-79.267993	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Passenger	50 to 54	Fatal	30	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 	 	Yes		 	Yes	Yes	Yes	 	 	 	42
2011	2011-11-07T05:00:00.000Z	1134	11	DUNDAS ST W	STERLING RD	 	Minor Arterial	Toronto and East York	43.650645	-79.44299	Intersection	At Intersection	Stop Sign	Clear	Daylight	Dry	Fatal	Cyclist Collisions	Cyclist	35 to 39	Fatal	30	South	Bicycle	Turning Right	 	 	 	 	 	"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist."	Improper Turn	Unknown	 	Yes	 	 	Yes		 	 	 	 	 	 	 	11
2017	2017-06-03T04:00:00.000Z	1134	11	RIDGEMOOR AVE	KINGSTON RD	 	Major Arterial	Scarborough	43.706267	-79.251254	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	26	Unknown	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	41
2011	2011-06-29T04:00:00.000Z	1135	11	STEELES AVE W	BATHURST ST	 	Major Arterial	North York	43.792345	-79.44589	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	11	East	Other	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	Yes	32
2017	2017-05-16T04:00:00.000Z	1135	11	95 ELLESMERE RD	 	 	Major Arterial	Scarborough	43.758727	-79.311122	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	SMV Other	Driver	80 to 84	Fatal	23	East	"Automobile, Station Wagon"	Going Ahead	Lost control	Medical or Physical Disability	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	Yes	41
2010	2010-05-13T04:00:00.000Z	1136	11	DUNDAS ST W	COLLEGE ST	 	Minor Arterial	Toronto and East York	43.650445	-79.44189	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	18	North	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	11
2015	2015-08-04T04:00:00.000Z	1136	11	KEELE STREET	MAPLE LEAF DRIVE	40 m North of	Major Arterial	Etobicoke York	43.715346	-79.479564	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Sideswipe	Driver	85 to 89	Fatal	37	North	"Automobile, Station Wagon"	Going Ahead	Lost control	Normal	 	 	 	 	 	 	 	 	Yes	 	Yes		 	Yes	 	 	 	 	 	12
2009	2009-07-18T04:00:00.000Z	1137	11	WOODBINE AVE	MORTIMER AVE	 	Major Arterial	Toronto and East York	43.692745	-79.31589	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	20	West	Other	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Inattentive	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	54
2017	2017-12-20T05:00:00.000Z	1139	11	COLLEGE ST	OSSINGTON AVE	 	Major Arterial	Toronto and East York	43.654326	-79.422664	Intersection	At Intersection	Traffic Signal	Other	Daylight	Other	Fatal	Cyclist Collisions	Cyclist	45 to 49	Fatal	60	West	Bicycle	Other	 	 	 	 	 	Insufficient information (to determine cyclist crash type).	Driving Properly	Other	 	Yes	 	 	Yes		 	 	 	 	 	 	 	14
2013	2013-11-07T05:00:00.000Z	1141	11	HARBORD ST	SPADINA AVE	 	Major Arterial	Toronto and East York	43.663043	-79.402095	Intersection	 	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	51	South	 	 	 	 	Vehicle is going straight thru inter.while ped cross with ROW	Crossing with right of way	Unknown	 	 	 	Yes	 	 	 	 		 	 	 	Yes	 	 	 	"14,52"
2018	2018-01-05T05:00:00.000Z	1145	11	SHEPPARD ST	ADELAIDE ST W	 	Major Arterial	Toronto and East York	43.649542	-79.382091	Intersection	At Intersection	Traffic Signal	Other	Daylight	Other	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	6	North	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	52
2017	2017-11-24T05:00:00.000Z	1148	11	SHEPPARD AVE E	VICTORIA PARK AVE	 	Major Arterial	Scarborough	43.775355	-79.322238	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	54	South	Passenger Van	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	Yes		 	 	 	 	 	 	 	42
2010	2010-07-29T04:00:00.000Z	1149	11	YONGE ST	YORK MILLS RD	 	Major Arterial	North York	43.744145	-79.40669	Intersection	 	Traffic Signal	Clear	Daylight	Dry	Fatal	Angle	Driver	85 to 89	Fatal	28	South	"Automobile, Station Wagon"	Going Ahead	Disobeyed Traffic Control	Normal	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	Yes	Yes	 	 	32
2018	2018-01-24T05:00:00.000Z	1150	11	WARDEN AVE	BAMBURGH CRCL	195 m South	Major Arterial	Scarborough	43.81428	-79.324542	Mid-Block	Non Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	8	West	 	 	 	 	Vehicle is going straight thru inter.while ped cross with ROW	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	Yes	 	 	42
2011	2011-03-28T04:00:00.000Z	1152	11	NORTH QUEEN ST	ATOMIC AVE	 	Minor Arterial	Etobicoke York	43.621845	-79.54319	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Approaching	Driver	70 to 74	Fatal	7	West	"Automobile, Station Wagon"	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	 	Yes		 	 	 	 	 	 	 	22
2016	2016-10-11T04:00:00.000Z	1152	11	8 SILVERDALE CRES	 	 	Collector	North York	43.756446	-79.341022	Mid-Block	At/Near Private Drive	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	62	South	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	33
2011	2011-08-07T04:00:00.000Z	1154	11	DIXON RD	GOLFWOOD HTS Heig	 	Major Arterial	Etobicoke York	43.698545	-79.53989	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Turning Movement	Motorcycle Driver	30 to 34	Fatal	17	West	Motorcycle	Going Ahead	Exceeding Speed Limit	Normal	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	Yes	Yes	 	 	 	23
2016	2016-11-06T04:00:00.000Z	1155	11	BLOOR ST W	GRENVIEW BLVD N	 	Major Arterial	Etobicoke York	43.648158	-79.507747	Intersection	At Intersection	Stop Sign	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	Over 95	Fatal	70	East	 	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Other	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	22
2014	2014-07-28T04:00:00.000Z	1200	12	DUDLEY AVE	FINCH AVE E	 	Major Arterial	North York	43.781047	-79.409702	Intersection	 	Stop Sign	Clear	Daylight	Dry	Fatal	Turning Movement	Driver	90 to 94	Fatal	17	North	"Automobile, Station Wagon"	Turning Left	Disobeyed Traffic Control	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	Yes	 	 	 	32
2009	2009-09-01T04:00:00.000Z	1203	12	SPADINA AVE	NASSAU ST	 	Major Arterial	Toronto and East York	43.655845	-79.39919	Intersection	 	Traffic Signal	Clear	Daylight	Dry	Fatal	Cyclist Collisions	Cyclist	65 to 69	Fatal	25	South	Bicycle	Turning Left	 	 	 	 	 	Cyclist turned left across motorists path.	Disobeyed Traffic Control	Normal	 	Yes	 	 	 		 	 	 	 	 	 	 	"14,52"
2012	2012-04-19T04:00:00.000Z	1203	12	MORNINGSIDE AVE	MILNER AVE	 	Major Arterial	Scarborough	43.800745	-79.19929	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	SMV Other	Driver	50 to 54	Fatal	10	North	"Automobile, Station Wagon"	Going Ahead	Other	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	 	42
2018	2018-06-12T04:00:00.000Z	1204	12	ST GEORGE ST	BLOOR ST W	 	Major Arterial	Toronto and East York	43.667445	-79.399799	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Cyclist Collisions	Cyclist	55 to 59	Fatal	32	South	Bicycle	Going Ahead	 	 	 	 	 	Motorist turning right on green or amber at signalized intersection strikes cyclist.	Other	Unknown	 	Yes	 	 	Yes		 	 	 	 	 	 	 	"53,52"
2015	2015-08-16T04:00:00.000Z	1210	12	2350 BAYVIEW AVE	 	 	Major Arterial	North York	43.732985	-79.38129	Intersection	Intersection Related	Traffic Signal	Clear	Daylight	Dry	Fatal	Turning Movement	Driver	85 to 89	Fatal	40	South	"Automobile, Station Wagon"	Going Ahead	Disobeyed Traffic Control	Inattentive	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	Yes	Yes	 	 	"33,32"
2017	2017-11-28T05:00:00.000Z	1212	12	EDITH DR	ORCHARD VIEW BLVD	 	Collector	North York	43.707171	-79.40327	Intersection	At Intersection	Stop Sign	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	56	East	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	53
2011	2011-07-16T04:00:00.000Z	1215	12	LAWRENCE AVE W	ROYAL YORK RD	 	Minor Arterial	Etobicoke York	43.696145	-79.53269	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	SMV Other	Passenger	70 to 74	Fatal	14	 	Other	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	23
2018	2018-10-18T04:00:00.000Z	1217	12	OSSINGTON AVE	NORTHUMBERLAND ST	 	Minor Arterial	Toronto and East York	43.663294	-79.426227	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	Over 95	Fatal	56	East	Other	 	 	 	Pedestrian hit at mid-block	Coming From Behind Parked Vehicle	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	14
2018	2018-03-29T04:00:00.000Z	1221	12	WILSON AVE	JULIAN RD	 	Major Arterial	North York	43.724532	-79.491092	Intersection	Intersection Related	Traffic Signal	Rain	Daylight	Wet	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	18	North	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	31
2012	2012-07-28T04:00:00.000Z	1224	12	HIGHWAY 27  N	HARNESS RD	 	Major Arterial	Etobicoke York	43.720045	-79.59679	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	22	West	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	23
2016	2016-08-05T04:00:00.000Z	1225	12	FINCH AVE W	TALBOT RD	40 m East	Major Arterial	North York	43.778243	-79.422359	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	50	North	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2013	2013-05-16T04:00:00.000Z	1231	12	MILL ST	YONGE ST	 	Major Arterial	North York	43.740344	-79.405887	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	90 to 94	Fatal	15	South	 	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	Yes	 	 	32
2015	2015-06-02T04:00:00.000Z	1233	12	LAWRENCE AVE E	MCCOWAN RD	 	Major Arterial	Scarborough	43.755538	-79.245418	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	27	North	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	43
2009	2009-05-01T04:00:00.000Z	1236	12	ST CLAIR AVE W	ORIOLE RD	 	Major Arterial	Toronto and East York	43.686945	-79.39979	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	SMV Unattended Vehicle	Passenger	90 to 94	Fatal	14	 	Other	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	53
2011	2011-08-02T04:00:00.000Z	1236	12	LAKE SHORE BLVD W	EIGHTH ST	 	Major Arterial	Etobicoke York	43.600445	-79.50639	Intersection	At Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	18	East	Other	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	22
2017	2017-12-15T05:00:00.000Z	1237	12	CHURCH ST	WELLINGTON ST E	 	Minor Arterial	Toronto and East York	43.648543	-79.373821	Intersection	At Intersection	Traffic Signal	Other	Daylight	Other	Fatal	Pedestrian Collisions	Pedestrian	20 to 24	Fatal	57	South	 	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	 	 	Yes		 	 	 	Yes	 	 	 	51
2012	2012-05-11T04:00:00.000Z	1239	12	DUPLEX AVE	ANDERSON AVE	 	Collector	Toronto and East York	43.704245	-79.40049	Intersection	At Intersection	Stop Sign	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	14	West	Other	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	53
2010	2010-01-12T05:00:00.000Z	1240	12	MARTIN GROVE RD	EGLINTON AVE W	 	Major Arterial	Etobicoke York	43.674445	-79.56319	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	2	East	Other	 	 	 	Vehicle is going straight thru inter.while ped cross with ROW	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	Yes	 	Yes	Yes	 	 	"23,22"
2012	2012-05-27T04:00:00.000Z	1240	12	22 DELHI AVE	 	 	Local	North York	43.742343	-79.418292	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	16	West	Other	 	 	 	Vehicle is reversing and hits pedestrian	Walking on Roadway Against Traffic	Medical or Physical Disability	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2015	2015-03-28T04:00:00.000Z	1240	12	REINER RD	WILSON HEIGHTS BLVD	 	Minor Arterial	North York	43.74869	-79.454883	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	13	West	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Other	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	32
2016	2016-09-16T04:00:00.000Z	1242	12	110 ST REGIS CRES	 	 	Local	North York	43.754729	-79.482974	Mid-Block	At/Near Private Drive	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	57	Unknown	 	 	 	 	Vehicle is reversing and hits pedestrian	On Sidewalk or Shoulder	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	31
2014	2014-11-20T05:00:00.000Z	1245	12	2440 DUNDAS ST W	 	 	Minor Arterial	Scarborough	43.658259	-79.452983	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	42	East	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	11
2014	2014-11-07T05:00:00.000Z	1247	12	DON MILLS RD	FRESHMEADOW DR	 	Major Arterial	North York	43.809378	-79.359485	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	39	East	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	33
2016	2016-07-05T04:00:00.000Z	1247	12	740 DUPONT ST	 	 	Major Arterial	Toronto and East York	43.671199	-79.423724	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Cyclist Collisions	Cyclist	70 to 74	Fatal	41	West	Bicycle	Overtaking	 	 	 	 	 	Cyclist strikes a parked vehicle.	Improper Passing	Unknown	 	Yes	 	 	 		 	 	 	 	 	 	 	14
2017	2017-03-04T05:00:00.000Z	1249	12	REXDALE BLVD	RAMP TO ENTRANCE RD	6.5 m West of	Major Arterial	Etobicoke York	43.720431	-79.61201	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	90 to 94	Fatal	14	South	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	23
2014	2014-06-03T04:00:00.000Z	1250	12	53 CRAIGMORE CRES	 	 	Local	North York	43.763236	-79.397456	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	11	West	 	 	 	 	Vehicle is reversing and hits pedestrian	Other	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2017	2017-12-03T05:00:00.000Z	1253	12	PRICE ST	YONGE ST	75 m East	Local	Toronto and East York	43.679961	-79.389858	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	63	South	 	 	 	 	Vehicle is reversing and hits pedestrian	Other	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	53
2014	2014-11-06T05:00:00.000Z	1254	12	MIDLAND AVE	GILDER DR	 	Major Arterial	Scarborough	43.736033	-79.258769	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	40 to 44	Fatal	38	Unknown	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	41
2009	2009-10-21T04:00:00.000Z	1255	12	WESTON RD	FENMAR DR	 	Major Arterial	Etobicoke York	43.756345	-79.54349	Mid-Block	At Intersection	No Control	Rain	Daylight	Wet	Fatal	Pedestrian Collisions	Pedestrian	50 to 54	Fatal	35	Unknown	Other	 	 	 	Other / Undefined	Pushing/Working on Vehicle	Unknown	 	 	 	Yes	 	 	 	Yes		 	 	 	 	 	 	 	31
2018	2018-06-23T04:00:00.000Z	1259	12	EGLINTON AVE W	CASTLE KNOCK RD	 	Major Arterial	Toronto and East York	43.703868	-79.411601	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	34	Unknown	 	 	 	 	Other / Undefined	Other	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	53
2009	2009-10-16T04:00:00.000Z	1301	13	STEELES AVE W	TANGREEN CRT	 	Major Arterial	North York	43.796645	-79.42629	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	41	South	Other	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2017	2017-06-30T04:00:00.000Z	1304	13	847 JANE ST	 	 	Collector	Etobicoke York	43.676146	-79.494518	Mid-Block	Non Intersection	No Control	Clear	Daylight	Dry	Fatal	Cyclist Collisions	Cyclist	70 to 74	Fatal	28	West	Bicycle	Going Ahead	 	 	 	 	 	"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist."	Driving Properly	Normal	 	Yes	Yes	 	 		 	 	 	 	 	 	 	12
2011	2011-06-11T04:00:00.000Z	1308	13	DEWLANE DR	BATHURST ST	 	Major Arterial	North York	43.785945	-79.44589	Intersection	 	No Control	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	9	West	Other	 	 	 	Pedestrian hit at private driveway	Other	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
2008	2008-05-22T04:00:00.000Z	1310	13	EGLINTON AVE W	ELMSTHORPE AVE	 	Major Arterial	Toronto and East York	43.704245	-79.41029	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Cyclist Collisions	Cyclist	55 to 59	Fatal	20	East	Bicycle	Going Ahead	 	 	 	 	 	Cyclist struck opened vehicle door	Driving Properly	Unknown	 	Yes	Yes	 	 		 	 	 	 	 	 	 	53
2014	2014-01-26T05:00:00.000Z	1310	13	SHEPPARD AVE E	CONSUMERS RD	 	Major Arterial	North York	43.775088	-79.331226	Intersection	 	Traffic Signal	Snow	Daylight	Loose Snow	Fatal	Rear End	Driver	70 to 74	Fatal	2	East	Passenger Van	Going Ahead	Other	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	 	 	33
2008	2008-10-18T04:00:00.000Z	1315	13	BAYVIEW BLOOR S RAMP N	BLOOR RAMP	 	Major Arterial	Toronto and East York	43.678245	-79.36889	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Approaching	Motorcycle Driver	30 to 34	Fatal	45	East	Motorcycle	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	Yes	 	 	 	 	 	53
2016	2016-02-18T05:00:00.000Z	1315	13	DAWES RD	SECORD AVE	 	Minor Arterial	Toronto and East York	43.69353	-79.297221	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	13	North	 	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	54
2011	2011-09-12T04:00:00.000Z	1316	13	STEELES AVE W	STEINWAY BLVD	 	Major Arterial	Etobicoke York	43.753945	-79.62099	Mid-Block	 	No Control	Clear	Daylight	Dry	Fatal	Turning Movement	Driver	20 to 24	Fatal	24	East	"Automobile, Station Wagon"	Going Ahead	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	Yes	Yes	 	 	 	23
2010	2010-01-12T05:00:00.000Z	1317	13	DUNDAS ST W	RONCESVALLES AVE	 	Minor Arterial	Toronto and East York	43.653845	-79.45179	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	3	East	Other	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	11
2013	2013-07-03T04:00:00.000Z	1319	13	LAKE SHORE BLVD W	BAY ST	 	Expressway	Toronto and East York	43.642996	-79.377811	Intersection	 	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	19	North	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Unknown	 	 	 	Yes	 	Yes	 	 		 	Yes	 	Yes	 	 	 	52
2014	2014-12-12T05:00:00.000Z	1320	13	SHEPPARD AVE E	404 N SHEPPARD W RAMP	 	Expressway	North York	43.77582	-79.337749	Intersection	 	Traffic Signal	Clear	Daylight	Wet	Fatal	Turning Movement	Passenger	50 to 54	Fatal	47	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	Yes	Yes	 	 	33
2015	2015-06-11T04:00:00.000Z	1322	13	YONGE ST	EMPRESS AVE	 	Major Arterial	North York	43.769263	-79.412891	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Pedestrian Collisions	Pedestrian	65 to 69	Fatal	29	 	 	 	 	 	Pedestrian hit on sidewalk or shoulder	On Sidewalk or Shoulder	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	32
